FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
47,0,187,3,0,349,621,1775,351,21,581,898,17,202
7996,4203,256,127,1158,983,14697,11238,368,191,1698,1539,22,204
6076,14311,391,202,1617,0,9594,25353,395,212,3830,0,31,204
0,0,192,73,0,295,91,3601,350,117,714,220,17,204
326,0,218,74,33,0,905,3285,371,115,500,312,19,205
1329,1740,220,39,491,753,2669,7756,381,87,2351,1102,19,205
62,322,203,11,600,54,427,2321,364,89,1501,854,18,206
7987,7420,811,243,2913,327,9288,12397,707,285,3188,1276,47,206
0,0,217,71,0,1054,175,3385,396,76,2058,1371,18,206
0,0,216,32,303,204,91,905,360,86,861,83,19,207
313,565,200,11,0,705,849,4456,377,35,418,838,17,208
16339,8573,976,423,2984,933,17777,13094,1113,370,3940,1967,40,208
14835,1992,425,172,1180,953,19550,5682,472,258,2124,1672,33,208
16784,3175,18452,8293,50836,0,18038,5517,18594,8411,48047,1517,78,209
23126,10204,1514,600,5277,1342,23802,15807,1516,526,6525,2710,56,209
27226,13552,1110,444,2716,507,31385,18804,1364,456,5836,443,42,209
1261,3031,743,381,3047,266,1762,7952,834,353,5706,1057,39,209
12261,4681,970,413,4420,0,14719,10684,864,399,4927,1211,42,210
567,84,216,42,213,600,2289,1177,417,40,814,1162,17,210
45575,33759,1162,361,3797,0,57522,56215,1222,379,3619,0,40,210
11500,4272,428,55,1789,108,16972,8825,386,77,1884,743,35,210
8143,7930,722,314,1087,697,8809,12726,940,397,2941,1253,40,212
0,0,200,27,0,0,127,1670,395,56,1492,728,17,212
13588,7461,738,213,2644,628,18856,11964,740,165,2658,1159,42,213
9740,6561,877,297,2531,192,11615,10674,859,327,2866,557,37,213
3792,2591,666,100,2854,0,5400,4928,601,79,4058,414,51,213
53453,14649,537,184,1106,687,71300,25456,541,254,2048,1220,37,214
2185,1585,418,219,952,1546,3271,3943,457,172,1041,1356,36,216
42530,15626,19751,8974,102303,2301,45078,24833,18939,8298,93158,3626,77,216
5318,5546,398,297,1599,0,6890,11250,396,339,2233,827,36,218
621770,204169,4549,485,20032,524,115616,66414,996,182,5705,1107,214,218
2936,3109,540,187,737,0,3714,6501,454,175,1824,1094,45,219
6646,5404,252,69,320,965,12933,14920,404,70,1440,1352,21,219
155,629,197,49,593,691,874,4710,371,46,1443,800,17,219
54411,24044,1580,642,4198,0,58347,33978,1660,627,5022,0,46,220
0,0,199,33,1391,598,311,735,380,44,2823,513,17,220
387,1267,432,356,3711,6,1007,3589,350,393,3166,793,39,220
110,371,203,24,502,25,595,4187,390,30,1439,0,17,221
221,0,239,56,0,25,613,3344,362,112,831,0,21,221
3858,1509,257,84,657,410,7265,5205,446,222,2808,540,20,222
2925,2644,482,133,2122,0,4427,4617,503,155,3237,753,38,222
392,3293,773,465,5296,727,863,8340,993,643,5318,1454,37,222
5450,5095,540,130,1559,1563,8021,12265,761,141,2707,1715,29,223
658060,116451,82633,28927,76769,1958,662139,146482,74929,25076,68555,2668,103,224
1234,903,246,143,0,521,2646,5424,378,216,108,402,21,224
4338,650,462,85,424,394,5771,3360,411,125,1391,679,36,225
0,136,223,74,631,628,227,1173,364,84,1564,709,20,226
302330,57724,5214,1451,10382,203,329016,77991,5399,1381,9122,528,64,226
