FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
167783,96907,5451,2063,18960,1790,188490,133355,5501,2141,17742,2209,62,490
164792,11020,3288,976,3117,1031,170638,15991,3219,873,2023,1506,65,491
1563,664,209,39,694,351,4443,4282,367,61,1768,600,18,492
4116,2228,239,52,440,159,7933,7621,416,98,1336,403,19,492
8404,16284,309,229,4152,0,12947,32333,445,342,6556,773,24,493
18761,6312,364,89,1425,712,28500,12400,477,162,3491,1576,27,493
15492,8220,1528,397,2903,0,17521,14855,1573,464,3421,112,43,493
1414,1135,434,33,1141,1359,3652,3762,437,94,1467,1362,34,494
3411,2732,3784,2155,23598,0,4897,4560,3832,2311,21339,616,58,494
19643,8178,1220,403,4296,0,21545,14851,1236,537,5186,399,43,495
69033,34690,3000,1102,21277,1909,73994,44949,2797,1066,21392,2568,62,495
17359,6908,929,347,2878,2589,21966,13104,1149,440,4589,2358,37,495
123084,24642,2867,879,11578,986,142970,34712,2850,759,13064,1198,60,497
103889,14507,640,323,1920,871,144142,20113,690,315,2570,699,39,497
67126,52211,1693,512,6523,0,80223,72416,1703,455,5585,2030,53,497
181856,105185,8143,2526,31031,980,200327,137936,7759,2494,30699,2152,76,498
0,0,212,59,123,0,0,2113,353,131,741,8,19,498
10876,11500,272,107,1694,242,20126,26591,423,137,2735,450,22,499
894,230,216,48,292,604,2031,921,394,59,2436,752,18,499
78196,19829,3249,1077,11762,1482,77530,27021,2773,1035,9725,1319,62,500
72922,18086,1648,797,5501,1004,77991,28028,1595,771,6812,1798,45,500
5846,5002,376,128,1078,1382,8627,9621,444,102,1414,1082,31,501
0,0,200,3,925,781,604,383,370,25,1972,1096,17,501
22425,10810,608,321,3680,1503,26338,17827,516,293,4051,1169,42,501
7239,10775,208,117,507,672,18895,32889,412,193,3215,660,17,501
1563,1109,354,93,1473,347,2597,3016,405,90,2358,779,34,502
1648,99,190,43,666,793,4508,1467,350,148,1724,1534,17,502
15828,6901,1003,428,3633,730,17290,10442,1113,432,4488,1043,39,502
1760,5483,487,121,2924,150,2642,10284,383,142,3766,347,45,502
3076,3200,212,27,351,99,9215,15264,415,56,938,455,17,503
1614,2389,218,78,443,641,3724,8515,371,134,2034,568,19,504
10408,15425,411,266,4782,1352,14713,26617,485,296,5462,1163,30,504
71951,83237,8357,4014,48664,1930,74845,109249,7977,3889,46269,2737,69,504
9716,2716,374,137,544,192,13168,6521,476,156,1487,572,30,504
2939,2712,372,90,1843,0,3674,5807,365,79,2862,291,37,505
79534,26255,3879,1304,13192,371,89215,39645,3758,1356,13193,1163,61,505
12925,5349,496,165,1678,1151,19961,12468,468,178,2955,1244,37,506
68134,44207,1753,711,8164,274,77336,61194,1642,576,7073,679,61,507
3072,1497,300,104,902,806,5669,6442,411,176,3342,1422,25,507
9650,6880,1251,335,2535,602,11985,11408,1133,303,2524,867,60,508
5292,7970,408,63,887,988,8298,19623,622,87,1941,1151,25,508
3890,2387,252,66,301,0,7784,8249,417,140,1562,324,20,508
8269,7763,907,250,1516,2186,10401,12200,808,269,2546,2382,51,509
14656,6197,942,387,2382,172,19279,11722,788,315,3641,303,46,509
10470,12075,443,207,6143,39,14494,22578,478,212,6749,302,31,509
20600,6913,1271,559,6308,466,23279,11698,1360,603,6421,778,43,509
164219,24384,6997,2414,18558,85,179388,35781,6996,2453,21908,1596,64,509
126992,12037,5311,1935,19100,2602,142094,17012,5294,1830,18465,2254,71,510
3613,1598,385,95,0,294,5746,5059,388,149,1077,1176,36,510
0,54,204,101,0,991,1136,3880,395,200,1264,1119,17,510
39891,50124,1093,452,4212,1330,42672,69131,924,387,4034,1450,49,510
162257,38748,4371,1500,15949,0,171827,53482,4075,1332,16018,870,79,511
761,581,239,57,629,376,2931,4426,390,60,1139,476,21,511
57,24,192,23,1191,450,625,600,360,0,2889,518,17,511
0,0,219,31,0,97,112,1195,426,99,0,63,17,512
39194,16479,7395,13053,117150,1186,40389,23671,6892,13033,111310,5737,68,513
302395,21759,108271,58115,478536,7680,325448,27929,100506,55421,442467,7205,106,514
22780,13574,2065,888,20470,0,23446,17757,1724,801,19871,351,59,515
276843,33462,115806,56201,389336,1816,289547,44662,101931,50504,356771,8655,109,515
92,573,222,134,622,439,1009,3006,443,262,2461,1019,17,515
93803,28055,5369,1487,10047,876,102413,40076,5221,1421,8949,1756,62,515
75775,60141,1856,673,8928,0,88482,89113,1943,767,8908,1638,50,516
627819,246110,18026,5445,17510,1623,663809,337512,17660,5453,14340,3148,77,516
28622,15399,945,321,1779,1082,36510,26466,1071,346,2111,905,40,517
81,0,193,74,388,273,452,2953,358,86,892,297,17,518
2058,579,1835,277,7102,0,2289,4414,644,204,5940,1773,128,518
22062,3106,829,355,2066,0,26885,4858,783,329,2671,895,47,519
6961,2419,339,104,923,831,12648,5154,442,145,2100,1256,27,519
27292,8117,34597,17040,85100,2454,27112,15223,32102,15577,78559,3759,85,520
4090,10315,1187,497,5554,889,6155,16478,1189,526,5342,922,42,520
1835,1767,226,109,735,0,5425,6963,418,123,1699,570,18,521
28673,11913,8349,5506,70968,170,26804,15898,7944,5064,63168,1889,69,521
350759,49827,132095,62751,849848,1366,361756,64613,126009,59013,786603,4563,107,521
4652,3532,533,179,1591,261,5949,5431,529,251,2196,1355,43,522
17053,5861,527,192,948,707,18188,10586,489,172,2624,1280,45,523
40635,13396,2081,814,7668,1551,48093,22501,2117,782,7129,1407,49,523
6537,15002,426,122,1270,257,9490,26584,574,142,1784,428,28,524
80831,28240,2069,706,6212,942,82829,38244,2009,678,5071,1165,56,525
63093,58925,1176,404,4386,495,69487,81260,1112,393,3762,938,52,526
203513,28605,16422,5031,26011,0,220431,39640,15114,4642,25484,1914,81,526
586,884,194,49,314,764,1465,4813,366,103,2010,907,17,526
21588,8565,1033,499,3422,381,20306,11251,1022,459,3403,1338,61,526
23545,2582,709,217,3299,839,31499,5765,686,254,3194,737,36,527
3881,1995,357,76,2788,782,5059,6871,440,121,3472,1065,29,528
14542,11271,17572,10479,45344,1374,14789,17853,16643,10434,49610,2538,79,528
25687,9184,607,308,2358,646,29825,15251,634,262,2803,1367,42,528
14685,9872,777,259,3728,499,16954,17714,826,197,3837,780,42,528
15335,11275,634,198,2812,736,19470,20043,722,231,3643,1099,34,529
24027,9442,1399,496,2744,270,31586,15238,1222,434,3782,716,46,529
55117,41610,2121,994,19477,3086,55843,57002,2285,911,16272,3859,57,530
1291,363,265,252,3316,0,3114,4496,430,377,5192,396,21,530
85045,20010,395,48,0,769,123800,37126,526,65,296,1091,27,530
96485,26061,4803,1542,11072,359,105368,37817,4665,1520,10808,1325,66,530
89470,21685,3696,1349,11380,516,96820,29403,3613,1441,10388,1088,66,531
42169,17954,2065,799,4974,2331,44074,24405,1856,774,6436,1844,59,531
9887,5658,1072,454,11223,2409,12266,9366,1265,604,10276,2203,49,531
1988,2011,209,80,2329,0,4492,7051,410,113,5115,0,17,532
1316,2076,320,112,623,0,1897,6288,406,143,1975,588,27,533
2527,1658,211,36,34,5,6054,4915,352,46,1637,424,19,534
542477,54536,75521,38148,366724,0,583831,74734,74596,36883,359625,1443,103,534
19675,19284,9763,4711,40860,1251,23699,28656,9130,4233,36331,2448,77,534
82107,16484,2482,670,7159,1217,92852,24381,2675,794,7692,1010,53,536
8060,1580,288,76,2628,633,14211,5526,374,181,4145,569,25,538
19555,7092,1022,413,4171,0,23061,11837,1200,462,3796,1229,40,540
14933,7704,818,289,4108,942,17455,14277,971,366,4408,1576,37,541
4541,4715,508,127,2618,0,5367,7571,498,250,4058,510,37,542
5071,5996,394,209,2488,731,7312,13817,526,257,2829,1768,28,543
3916,5374,2861,1888,20174,455,6555,9192,2723,1843,19868,1511,59,543
0,172,217,47,0,749,729,5533,390,59,1011,843,18,544
41941,6457,3585,1493,25496,2676,46044,11332,3707,1380,23544,2154,66,544
22298,27825,645,277,2554,0,29718,45395,693,246,4490,495,39,545
685,0,192,55,0,1048,2773,2571,350,64,0,1537,17,546
249,2151,481,210,1412,588,1735,5444,581,222,3912,1637,31,546
46369,4360,33809,18347,154872,1557,47165,6052,32420,17271,146678,5672,94,546
24183,10699,1733,549,4447,2026,24428,16229,1556,473,4431,1577,47,547
6473,2663,275,101,0,996,14416,7974,402,173,1230,992,23,548
3127,1641,202,49,263,340,6877,4787,379,85,600,503,17,550
24962,11383,1368,478,4849,270,29721,17316,1335,459,5649,1096,55,553
257,466,235,0,0,40,1444,3035,444,2,694,321,18,554
13042,9998,473,237,1239,677,18018,21148,612,343,2894,603,29,554
2533,1102,432,127,1233,133,5020,4460,563,114,2087,318,29,554
794612,220419,237295,62424,190123,1391,818656,292126,221895,58349,176339,5082,117,555
4132,5073,296,153,1162,710,6413,11755,386,150,3607,1648,25,555
9876,3417,451,67,622,1276,13620,7634,457,187,1886,1511,37,556
47473,9041,1581,718,23031,2939,54017,13005,1426,714,21090,2184,45,556
13681,2316,359,157,2273,1097,22436,3857,454,159,3810,1114,32,557
31535,2540,762,225,0,361,40257,6944,917,279,1192,1041,38,557
220610,151733,320,120,6101,1565,342925,283867,419,216,9139,2629,26,558
1817,1876,251,107,1340,961,4315,7032,389,120,2362,1452,21,558
93451,5739,32647,10159,14304,0,98136,6501,31594,10348,13105,324,85,559
50702,12279,8794,4055,54816,2079,58270,17420,8638,4011,53319,2137,66,559
37515,12844,2206,779,6237,279,45696,19298,2115,798,6233,941,47,559
25904,6299,13688,4902,56344,918,29402,9058,12172,4634,53856,3050,83,559
12152,7424,936,285,2303,591,15412,10816,1001,249,4544,1417,41,560
7398,7412,6493,4189,41924,2837,6463,10180,5900,3951,39469,2814,79,560
1406,1611,275,86,736,793,4087,5166,389,137,1474,1136,24,561
29024,11954,1688,572,3503,0,31677,16231,1721,582,2921,1014,56,561
5609,4681,456,147,2379,646,9178,10884,607,233,4520,822,28,563
125,621,188,22,307,776,1616,4806,351,114,825,945,17,563
69586,19524,2100,657,8706,859,73197,24542,2143,694,9019,2108,58,564
5733,1260,245,111,861,442,12544,6282,377,141,2071,386,21,564
8660,2760,398,118,1971,590,12469,7420,402,203,2551,1051,34,565
3422,3883,430,153,713,999,4878,7682,412,158,1509,1176,34,565
125242,26092,4206,1516,11429,517,136494,35539,4055,1556,12615,510,66,567
19894,3807,26821,11568,60673,1691,22506,7036,26452,11048,61727,1307,82,568
114697,28304,946,307,1732,1076,129380,42259,925,177,2291,1315,51,570
4478,6271,430,174,1600,0,6901,11852,481,249,2992,117,33,570
2674,1185,255,138,2688,169,6250,4934,444,232,4457,1230,20,570
13541,7126,1047,472,5450,536,18200,10237,1051,493,7928,857,44,571
7028,950,320,186,1818,208,12752,5028,493,194,2158,258,24,571
391,4660,1986,1145,11312,0,2963,9058,1928,1073,10092,791,58,571
9437,8032,481,367,4186,855,11393,12179,457,317,4051,1106,38,572
108779,48866,2506,1058,10924,1769,122537,67495,2536,903,9517,2073,55,573
10563,7686,650,226,2938,689,13940,11644,783,205,4866,2096,34,573
92311,82067,563,207,2306,887,116709,135481,646,226,3126,993,34,574
18045,6054,1253,391,3744,0,18343,9192,1094,289,4066,635,60,574
457235,94298,412954,213802,1318606,14361,431978,115552,362996,186660,1142095,12078,148,574
0,0,545,248,3002,0,530,3373,666,299,3406,534,38,574
1602,868,712,341,5337,75,3329,4892,412,311,5465,1007,60,574
136,0,223,41,1499,695,1762,0,351,62,2320,1203,20,575
1016,343,222,4,169,361,5800,1386,442,6,720,775,17,576
419,1165,749,366,3064,567,1459,5807,961,387,4023,888,34,578
10769,3043,309,89,0,150,19810,8622,502,129,1618,443,22,579
598,982,227,63,378,153,1492,3118,352,124,1546,197,20,579
26315,10993,1650,651,7696,245,26338,15754,1578,668,6439,1128,54,579
1715171,3068248,9760,8106,175905,10414,1096393,3044134,7172,5770,129194,9541,88,580
2540,2255,533,408,4979,932,5107,4826,619,386,6698,1779,38,580
57579,13445,2754,761,7975,1105,64923,19354,2479,791,8939,1333,55,581
64418,23821,1748,679,6335,242,66821,31891,1899,515,6212,1678,50,581
16779,6656,778,326,3280,0,23874,11613,774,342,3642,723,39,581
51015,10331,1545,475,5651,0,59438,14802,1561,385,6366,777,55,581
1003,387,882,370,3305,1053,2523,4070,817,344,4659,1959,40,582
41761,12892,2643,772,4875,17,44937,17704,2695,579,4481,1625,62,582
442,0,208,51,91,837,1674,1648,408,190,1756,890,17,582
69,0,208,0,215,109,759,1464,404,0,1541,274,17,583
13295,1750,225,77,813,557,22692,5735,353,75,1696,599,21,585
8202,7219,312,158,1153,627,13044,14698,435,211,1525,974,29,586
23031,9816,1366,508,4114,85,25742,16357,1483,560,4116,2139,45,587
32466,11806,801,322,4392,1630,37503,17686,953,424,7375,1950,41,588
19490,8003,1365,441,3952,363,24653,10485,1260,480,5011,944,44,591
14533,7197,1020,350,4137,307,17510,11624,979,467,4817,719,39,591
12016,774,10816,4846,32360,1396,15277,2087,10746,4759,32649,1005,82,592
34709,6134,865,363,3755,373,37985,9525,945,475,3871,939,42,592
31643,3452,812,177,575,0,37425,8561,847,309,2331,515,39,593
6096,2266,522,158,1995,1049,8005,7551,594,161,3317,1630,32,594
1612,1232,217,81,2123,559,3403,5478,399,106,6182,631,18,594
4545,2284,356,147,1577,532,6114,4946,354,160,1805,871,33,594
44154,13348,2202,824,8150,332,41855,17367,1941,772,7380,1621,59,595
158,465,199,33,0,794,692,3173,371,49,1900,1200,17,595
39671,16646,1903,627,4195,756,44278,22625,1857,595,5898,705,53,596
1104,2242,708,437,2351,1411,2423,5558,594,471,2970,1538,42,596
1134,1870,363,190,1587,1014,2819,3807,442,200,2225,1196,28,596
26195,15191,12850,5928,48494,831,31952,20660,12603,5974,47575,2528,75,596
10905,6782,421,167,404,491,16484,14580,617,232,1809,1390,26,597
0,0,219,58,548,281,832,0,396,53,1663,500,18,598
11382,6876,540,133,418,216,16475,12036,696,181,2142,703,31,598
9342,4549,507,152,1475,0,9421,10500,383,195,1701,1026,46,599
20579,6772,1097,385,3603,1610,24895,11051,1115,461,4241,1383,39,599
52730,14972,3031,1107,9107,1074,57838,22880,3050,861,7841,1227,59,600
2182,1126,356,15,233,345,3324,4890,375,55,1249,1138,32,600
15341,20398,549,298,9125,326,20986,33229,691,333,9399,192,32,601
5466,2124,494,209,898,0,6359,5902,495,195,1835,190,41,601
1154,828,231,111,1063,1465,3078,3087,367,180,2875,1719,20,601
